Student_ID,Age,Study_Hours,Attendance,Assignments,Marks
256,18,7.7,64.5,,79.4
257,18,3.9,69.9,7.0,67.7
258,20,9.0,92.3,8.0,88.2
259,18,1.8,90.5,10.0,46.7
260,19,8.3,75.4,6.0,45.1
261,19,8.8,98.2,7.0,42.7
262,21,8.4,96.4,7.0,72.1
263,23,5.6,98.5,10.0,82.4
264,24,4.9,77.1,8.0,47.8
265,22,10.0,67.9,8.0,78.3
266,18,3.1,85.1,3.0,68.6
267,18,5.9,87.4,,99.2
268,20,7.0,65.0,3.0,83.0
269,23,7.3,91.5,6.0,79.4
270,19,2.8,60.7,5.0,74.2
271,22,6.9,79.3,3.0,99.8
272,21,8.4,73.2,8.0,98.8
273,19,1.5,89.6,9.0,72.3
274,23,9.2,72.5,4.0,67.3
275,24,1.3,93.1,5.0,67.7
276,21,4.2,83.8,6.0,65.7
277,24,1.1,91.8,9.0,71.9
278,20,1.7,99.6,8.0,56.4
279,20,9.2,87.2,5.0,95.6
280,18,4.2,99.4,10.0,69.4
281,24,4.8,61.2,8.0,90.5
282,23,2.9,73.5,3.0,68.5
283,22,6.4,64.3,9.0,83.1
284,21,6.4,70.5,8.0,60.2
285,19,4.3,93.6,9.0,77.5
286,23,4.0,61.3,6.0,69.9
287,23,9.0,80.8,4.0,62.0
288,20,4.4,82.7,3.0,92.9
289,24,5.4,82.4,3.0,
290,18,3.5,79.0,9.0,69.2
291,18,8.1,91.6,6.0,51.7
292,21,4.6,65.3,6.0,91.7
293,20,5.6,72.4,5.0,55.2
294,23,3.3,84.6,4.0,78.0
295,22,,87.6,8.0,49.9
296,20,3.6,76.2,5.0,64.3
297,21,7.9,95.0,8.0,
298,21,4.8,76.6,8.0,50.0
299,20,2.9,76.1,8.0,79.8
300,21,8.2,,5.0,52.3
301,20,4.0,82.0,3.0,64.9
302,19,8.8,88.3,6.0,72.4
303,20,9.2,64.6,3.0,74.6
304,24,8.7,72.2,4.0,76.2
305,20,1.3,91.3,5.0,78.4
306,21,8.1,74.6,10.0,56.3
307,24,4.7,69.7,4.0,64.1
308,21,8.9,86.9,6.0,42.2
309,18,6.7,67.9,6.0,86.1
310,18,8.5,95.8,7.0,90.2
311,24,5.5,64.2,4.0,52.0
312,19,5.8,88.3,10.0,52.1
313,18,2.3,80.0,3.0,42.5
314,20,8.1,94.8,9.0,98.2
315,21,4.8,65.0,10.0,88.4
316,18,5.5,87.1,4.0,61.6
317,18,8.1,82.9,5.0,68.9
318,19,6.4,79.2,6.0,57.5
319,24,2.8,79.7,6.0,75.8
320,24,6.3,88.9,4.0,
321,23,4.7,97.5,10.0,66.8
322,19,5.2,63.7,4.0,92.4
323,20,1.3,,8.0,71.0
324,24,2.9,92.2,4.0,48.7
325,21,3.5,64.3,8.0,77.3
326,19,7.4,99.5,10.0,67.7
327,18,1.1,84.8,5.0,96.1
328,21,4.7,86.0,5.0,
329,21,9.3,68.0,3.0,64.2
330,18,,69.6,4.0,79.0
331,19,5.6,86.4,10.0,71.6
332,18,8.1,96.4,10.0,62.5
333,23,9.5,99.3,3.0,99.4
334,21,7.7,67.9,9.0,58.1
335,22,7.5,65.4,10.0,56.7
336,22,8.4,62.3,7.0,91.9
337,20,5.0,94.7,5.0,40.2
338,24,8.3,71.8,6.0,52.1
339,18,1.1,60.1,8.0,75.4
340,18,9.3,69.0,7.0,49.7
341,20,5.0,73.6,6.0,99.1
342,20,6.0,99.6,7.0,67.9
343,20,3.3,80.9,3.0,75.8
344,21,7.7,68.2,3.0,49.6
345,23,1.7,73.4,8.0,57.4
346,18,8.9,73.2,5.0,76.9
347,21,8.5,60.8,9.0,73.0
348,20,2.9,65.4,10.0,87.1
349,18,8.3,87.8,8.0,56.2
350,21,8.1,64.8,9.0,79.2
351,23,6.7,69.2,6.0,57.5
352,21,4.4,74.0,10.0,75.2
353,23,3.4,90.3,7.0,76.3
354,20,3.1,83.3,8.0,47.3
355,23,3.9,87.6,9.0,72.9
356,18,9.1,82.7,4.0,40.7
357,20,1.7,87.3,4.0,70.1
358,18,8.5,60.1,5.0,81.9
359,22,4.1,97.2,9.0,44.4
360,19,5.7,64.4,8.0,96.3
361,23,8.2,76.2,6.0,67.5
362,19,9.0,90.8,4.0,96.3
363,19,4.1,77.4,5.0,46.4
364,23,5.2,97.9,8.0,97.0
365,20,4.7,78.7,5.0,46.6
366,22,1.1,95.0,6.0,67.7
367,18,3.7,92.4,4.0,96.3
368,21,5.1,99.2,10.0,54.0
369,18,4.7,97.1,4.0,42.1
370,21,7.5,95.9,4.0,87.6
371,18,4.5,89.3,9.0,75.8
372,23,5.4,74.7,3.0,70.8
373,22,4.9,64.2,9.0,42.1
374,21,7.7,87.5,4.0,79.2
375,24,8.8,99.1,7.0,50.3
376,20,5.8,89.1,3.0,95.9
377,18,8.1,97.1,10.0,81.1
378,18,3.7,92.2,8.0,82.4
379,21,5.9,66.5,9.0,54.0
380,20,4.1,70.0,3.0,92.8
381,20,4.7,73.7,3.0,72.3
382,23,7.6,66.7,9.0,91.4
383,24,8.9,83.3,9.0,56.3
384,23,2.1,99.0,3.0,85.3
385,23,6.7,90.5,5.0,74.5
386,23,6.2,76.9,10.0,42.9
387,23,2.1,60.2,7.0,64.3
388,23,2.9,72.5,6.0,51.0
389,22,3.8,81.1,4.0,61.6
390,20,2.5,73.0,10.0,63.0
391,23,3.2,64.4,9.0,68.5
392,20,3.4,77.7,3.0,76.0
393,20,4.0,70.1,6.0,74.3
394,19,7.7,96.4,9.0,42.3
395,22,6.1,64.1,5.0,85.0
396,23,9.9,62.0,6.0,97.0
397,18,4.7,60.2,3.0,60.9
398,21,7.8,73.1,10.0,50.8
399,24,8.8,86.4,8.0,72.4
400,18,7.1,89.2,10.0,82.3
401,22,4.7,78.1,10.0,80.7
402,21,7.8,87.4,7.0,76.7
403,22,2.8,74.4,6.0,48.8
404,20,3.9,86.7,9.0,90.2
405,21,5.9,61.6,3.0,65.5
406,20,6.2,75.6,9.0,53.3
407,18,1.2,,3.0,45.2
408,18,9.5,92.1,4.0,65.0
409,21,7.3,88.6,8.0,77.1
410,21,5.5,68.2,4.0,79.9
411,23,9.4,69.9,10.0,97.8
412,22,5.0,99.8,8.0,49.2
413,23,9.8,64.1,7.0,99.1
414,22,5.6,67.2,4.0,79.3
415,23,2.0,65.2,7.0,67.3
416,20,7.9,73.1,9.0,93.3
417,21,7.1,68.4,10.0,81.7
418,18,8.0,79.9,5.0,60.9
419,22,9.6,79.0,5.0,93.0
420,22,8.0,96.1,8.0,80.0
421,18,6.5,61.4,8.0,81.9
422,23,8.7,72.8,4.0,93.8
423,22,,83.9,5.0,66.9
424,24,4.7,84.2,6.0,79.4
425,20,9.0,79.2,6.0,84.7
426,21,3.0,92.6,9.0,67.2
427,18,7.4,62.5,6.0,45.0
428,21,8.9,92.6,9.0,86.3
429,24,7.6,79.8,5.0,42.9
430,22,7.3,65.4,6.0,83.1
431,22,7.8,95.4,7.0,94.7
432,24,5.2,86.0,3.0,60.8
433,18,8.9,66.5,8.0,46.1
434,20,2.8,61.3,10.0,54.0
435,19,2.1,65.6,4.0,73.7
436,18,3.6,84.4,9.0,96.6
437,19,5.8,,7.0,70.7
438,24,5.6,69.0,6.0,46.8
439,23,8.4,61.0,10.0,77.7
440,19,,88.9,10.0,84.0
441,20,5.4,92.4,3.0,63.6
442,23,1.1,91.9,4.0,83.3
443,19,4.7,65.1,7.0,59.5
444,24,6.8,96.1,4.0,87.3
445,23,1.1,86.9,9.0,60.5
446,24,3.5,95.9,9.0,55.4
447,19,2.9,77.9,8.0,92.8
448,24,1.4,77.5,5.0,72.9
449,20,5.3,91.4,9.0,57.1
450,19,2.6,63.7,6.0,96.1
451,19,7.7,80.8,10.0,81.5
452,19,8.6,93.5,7.0,53.2
453,18,5.9,93.2,7.0,76.9
454,18,9.8,98.2,3.0,92.2
455,18,5.1,87.9,10.0,81.8
456,20,5.6,68.3,3.0,54.7
457,23,9.9,60.8,3.0,78.9
458,24,3.1,79.2,10.0,77.1
459,22,9.5,80.5,4.0,89.3
460,19,1.4,69.6,6.0,50.7
461,24,5.0,65.0,4.0,82.0
462,19,1.6,83.4,6.0,41.6
463,20,7.6,90.6,,81.8
464,19,6.5,99.7,9.0,97.6
465,18,7.4,90.3,9.0,50.5
466,22,4.4,91.7,,58.7
467,21,4.3,84.7,4.0,75.0
468,19,1.4,99.4,4.0,83.9
469,24,4.1,85.6,5.0,60.7
470,18,9.4,,8.0,79.9
471,21,4.4,97.8,10.0,94.0
472,22,8.5,97.2,6.0,83.6
473,21,8.6,75.3,9.0,82.7
474,18,4.4,63.1,6.0,62.9
475,23,6.7,66.9,4.0,94.7
476,23,1.9,62.4,5.0,56.6
477,21,1.9,64.2,4.0,52.3
478,20,1.4,67.4,6.0,61.9
479,24,6.2,73.6,8.0,79.0
480,24,4.8,81.7,9.0,91.7
481,21,,88.5,8.0,47.9
482,19,5.7,68.4,10.0,88.8
483,19,4.2,86.9,7.0,88.8
484,24,7.1,,5.0,75.2
485,24,7.8,82.3,8.0,85.6
486,23,1.1,96.1,5.0,50.9
487,20,2.9,64.4,4.0,50.2
488,18,7.4,67.1,7.0,91.8
489,19,4.5,77.1,6.0,69.9
490,24,7.0,65.1,8.0,54.8
491,23,4.1,82.7,8.0,81.3
492,22,4.5,75.9,3.0,93.5
493,23,2.4,71.4,9.0,77.9
494,19,3.3,66.8,6.0,60.8
495,19,6.4,73.4,8.0,69.0
496,23,4.9,84.3,8.0,85.1
497,18,8.0,83.0,6.0,44.1
498,21,8.7,66.5,7.0,53.0
499,19,5.9,65.0,5.0,67.8
500,23,7.8,61.1,6.0,76.3
501,24,3.8,60.5,5.0,60.3
502,23,4.7,95.2,7.0,57.9
503,20,7.4,,7.0,42.5
504,21,4.5,89.2,10.0,42.0
505,22,6.3,94.9,4.0,56.7
506,18,2.7,63.9,3.0,71.8
507,22,6.4,77.5,,73.4
508,21,8.8,98.5,10.0,69.6
509,21,8.8,93.4,10.0,64.6
510,21,,,10.0,55.1
511,22,7.7,90.5,7.0,64.0
512,24,6.0,93.3,5.0,48.3
513,21,6.3,73.9,7.0,46.9
514,23,2.2,95.7,6.0,58.0
515,22,5.0,78.8,4.0,99.7
516,21,5.1,81.1,4.0,59.6
517,23,9.6,100.0,6.0,96.2
518,24,4.9,93.7,8.0,63.5
519,20,5.9,74.5,7.0,66.3
520,24,5.8,60.4,9.0,87.8
521,21,6.7,85.0,,45.6
522,22,7.7,88.2,10.0,50.9
523,19,3.0,86.0,7.0,98.4
524,21,5.8,98.7,4.0,70.4
525,19,8.4,94.5,3.0,42.7
526,23,5.2,78.0,9.0,42.8
527,20,,62.5,8.0,94.4
528,18,6.9,79.0,5.0,92.4
529,24,8.4,87.6,5.0,67.5
530,20,1.6,84.3,9.0,49.8
531,21,8.0,81.5,7.0,89.8
532,19,8.4,78.8,7.0,59.5
533,24,5.2,,3.0,65.1
534,19,9.8,71.1,3.0,80.9
535,22,8.1,80.0,8.0,
536,19,8.0,66.4,7.0,77.7
537,22,7.7,73.6,4.0,93.1
538,23,2.4,73.0,5.0,87.8
539,24,3.0,83.5,8.0,62.9
540,24,5.2,62.7,10.0,57.3
541,18,3.4,93.2,3.0,57.1
542,21,4.7,82.5,10.0,60.9
543,22,9.0,86.8,4.0,69.6
544,18,8.4,88.1,7.0,65.0
545,19,6.7,71.7,6.0,48.0
546,19,8.7,78.8,3.0,49.8
547,18,8.1,98.2,8.0,60.6
548,24,4.9,90.7,6.0,73.7
549,19,2.8,98.8,4.0,75.6
550,23,5.6,89.9,10.0,69.2
551,23,7.6,67.0,9.0,84.3
552,18,4.9,,5.0,84.2
553,22,7.0,83.1,9.0,65.7
554,22,1.8,74.3,9.0,47.5
555,18,7.7,71.0,9.0,71.8
556,22,8.3,92.3,4.0,62.9
557,24,7.4,74.7,5.0,48.3
558,24,9.7,72.7,4.0,98.9
559,22,8.4,94.0,9.0,62.2
560,23,9.1,93.9,3.0,77.5
561,22,9.4,74.3,9.0,69.4
562,24,8.2,93.3,3.0,48.6
563,20,7.1,94.0,8.0,43.3
564,21,1.1,77.0,9.0,77.5
565,19,5.2,62.7,6.0,54.8
566,20,6.1,60.1,4.0,54.6
567,22,3.7,80.9,9.0,97.4
568,23,3.9,73.8,4.0,67.7
569,18,9.7,99.9,10.0,41.8
570,22,9.0,90.9,9.0,60.4
571,23,8.6,90.5,6.0,75.1
572,21,4.7,98.2,9.0,59.7
573,22,1.1,95.5,7.0,41.6
574,24,1.7,72.7,8.0,66.7
575,18,3.8,66.6,10.0,46.4
576,23,1.1,89.8,4.0,77.1
577,23,1.2,75.1,10.0,77.2
578,23,9.2,78.9,8.0,42.3
579,21,7.4,85.2,4.0,57.4
580,22,3.8,96.3,4.0,64.8
581,21,2.2,76.8,7.0,73.0
582,19,5.6,91.3,9.0,57.8
583,19,1.0,70.7,3.0,57.3
584,22,9.4,87.9,8.0,99.0
585,24,4.7,60.1,6.0,42.5
586,21,4.6,94.9,8.0,99.3
587,18,4.5,61.2,9.0,42.9
588,23,1.6,88.5,7.0,57.3
589,23,6.7,61.9,5.0,69.6
590,22,7.6,70.6,10.0,48.6
591,24,7.1,79.9,,48.1
592,19,2.2,76.8,7.0,55.4
593,19,6.2,67.7,10.0,98.4
594,23,6.1,73.4,9.0,62.8
595,22,8.8,89.1,7.0,74.0
596,21,4.4,86.8,3.0,82.3
597,19,,62.9,8.0,84.5
598,21,6.6,89.9,9.0,81.3
599,24,6.7,62.1,10.0,60.2
600,19,5.2,81.7,8.0,46.7
601,19,5.0,70.4,5.0,56.9
602,20,5.4,83.5,9.0,52.6
603,19,8.7,70.5,6.0,48.2
604,18,5.2,99.4,8.0,41.5
605,22,9.5,72.4,4.0,96.1
606,22,5.5,69.7,10.0,95.3
607,21,9.5,71.1,4.0,43.0
608,24,8.5,95.9,3.0,50.4
609,19,4.3,85.4,10.0,48.4
610,18,8.8,89.2,9.0,56.9
611,21,2.0,96.7,10.0,52.2
612,20,9.3,96.5,3.0,96.8
613,21,6.7,89.6,10.0,45.1
614,21,1.5,67.9,9.0,52.7
615,19,6.8,93.7,5.0,44.8
616,20,9.8,68.2,6.0,98.8
617,21,1.6,89.7,6.0,95.1
618,18,6.0,87.4,7.0,83.0
619,18,7.7,90.4,3.0,65.6
620,22,8.3,81.3,9.0,51.4
621,20,4.7,85.5,8.0,53.3
622,20,2.8,98.1,4.0,66.6
623,22,1.4,64.0,8.0,86.1
624,21,6.2,72.4,,55.9
625,20,5.1,84.5,5.0,58.6
626,18,9.5,98.6,4.0,76.0
627,18,1.5,63.8,8.0,54.3
628,19,7.2,60.9,10.0,75.1
629,20,1.2,62.2,8.0,63.2
630,21,2.5,62.1,6.0,42.1
631,22,5.1,96.3,9.0,64.2
632,22,5.1,88.9,6.0,95.2
633,21,7.2,87.1,3.0,57.6
634,24,9.2,80.9,10.0,59.4
635,23,6.8,91.3,8.0,44.0
636,19,,66.2,10.0,76.9
637,22,8.9,75.7,10.0,91.0
638,20,6.3,79.6,,61.2
639,19,8.5,64.4,5.0,54.4
640,20,6.8,76.8,4.0,97.4
641,24,1.7,72.7,3.0,84.7
642,18,7.7,61.4,7.0,74.0
643,19,1.9,65.5,10.0,58.3
644,22,6.3,90.6,7.0,53.2
645,19,7.3,60.7,9.0,82.9
646,19,1.6,97.4,4.0,71.3
647,19,3.1,63.5,4.0,71.2
648,23,9.2,92.0,9.0,44.4
649,19,6.5,95.9,4.0,70.7
650,20,3.2,97.6,6.0,89.4
651,18,7.2,94.7,4.0,96.8
652,24,6.4,71.5,7.0,46.4
653,21,5.5,73.3,4.0,77.9
654,19,9.8,77.1,8.0,74.1
655,22,7.2,65.6,9.0,93.4
656,19,4.4,60.9,5.0,85.1
657,22,8.2,94.8,7.0,97.9
658,20,9.0,82.2,5.0,97.6
659,22,2.1,84.3,7.0,53.5
660,21,2.8,97.1,10.0,83.5
661,18,2.9,86.6,3.0,71.8
662,22,7.2,87.6,8.0,52.9
663,22,6.4,91.5,7.0,51.7
664,18,6.6,64.7,10.0,44.9
665,21,9.5,74.4,8.0,87.7
666,19,8.0,98.7,7.0,59.5
667,22,2.2,96.9,5.0,91.4
668,18,4.1,95.4,5.0,76.5
669,20,4.9,78.1,9.0,80.4
670,18,4.6,94.3,7.0,57.5
671,20,7.0,61.9,7.0,67.4
672,21,9.0,65.9,6.0,64.7
673,19,3.8,76.6,8.0,54.1
674,18,6.0,79.3,8.0,90.0
675,24,8.1,70.5,8.0,77.3
676,24,4.7,74.3,8.0,42.2
677,23,2.5,66.5,3.0,89.2
678,22,5.3,79.6,3.0,46.4
679,21,1.5,91.8,10.0,64.2
680,18,9.5,86.5,4.0,74.3
681,24,1.7,64.3,7.0,40.5
682,22,4.9,79.5,7.0,79.2
683,24,5.8,87.9,7.0,79.6
684,18,9.9,81.2,7.0,79.2
685,20,2.5,75.7,8.0,49.8
686,18,2.0,84.9,8.0,55.3
687,23,1.1,98.7,3.0,54.8
688,18,2.4,63.8,5.0,97.6
689,18,2.9,75.6,6.0,44.1
690,23,6.7,76.3,8.0,65.7
691,21,3.0,83.1,8.0,92.3
692,18,1.2,66.1,9.0,86.2
693,23,8.4,67.1,8.0,89.3
694,22,4.3,71.4,5.0,98.3
695,20,4.2,98.2,5.0,63.2
696,20,3.7,89.4,3.0,58.6
697,18,9.8,86.5,8.0,41.8
698,21,,92.7,,49.0
699,21,9.1,65.1,9.0,73.7
700,22,8.0,94.4,6.0,49.5
701,18,1.7,83.8,7.0,84.2
702,20,9.9,73.4,8.0,42.2
703,21,3.4,92.6,3.0,55.6
704,18,1.9,92.1,3.0,81.7
705,24,8.5,93.8,10.0,55.3
